Codigo,Lat,Lon,Area
65825497,-25.7019,-52.005,4090
65824991,-25.6558,-51.9522,3910
65819300,-25.6119,-51.6531,0
65815060,-25.5044,-51.7864,2200
65815050,-25.5383,-51.8189,2220
65815040,-25.5353,-51.8158,0
65813100,-25.4878,-51.7378,1860
65812000,-25.4528,-51.6358,0
65809000,-25.3978,-51.4358,314
65808500,-25.4431,-51.4464,0
65803001,-25.7883,-52.1147,34400
65775901,-26.0931,-51.8797,1610
65775800,-26.1239,-51.8739,346
65774400,-26.0094,-51.6647,30100
65764001,-25.8075,-51.2886,976
65370001,-26.3869,-51.2719,1010
65365801,-26.1653,-51.2281,24900
65310001,-26.2281,-51.0803,24200
65293000,-26.4472,-50.9861,266
65280000,-26.4406,-50.8344,162
65275000,-26.4631,-50.8883,142
65271000,-26.4597,-50.8122,1891
65270000,-26.495,-50.7875,1100
65260001,-26.5875,-50.7283,697
65259000,-26.5936,-50.7283,300
65258000,-26.6144,-50.6761,279
65220001,-26.0192,-50.5925,18600
65175001,-26.0914,-50.3339,8050
65155001,-25.9439,-49.7961,2000
65141000,-25.9736,-52.1683,185
65140000,-25.9783,-52.2133,176
65100001,-26.1097,-49.8011,3450
65060001,-25.8756,-50.3894,6050
65035001,-25.5481,-49.8894,3620
65031500,-2.8897,-49.8747,3601
65031400,-25.5711,-49.7908,3307
65031300,-25.6014,-49.6314,2732
65028000,-25.5886,-49.6319,2740
65025000,-25.6003,-49.5133,2330
65015400,-25.5892,-49.2281,272
65010000,-25.5192,-49.1456,106
65006090,-25.4864,-49.1811,0
65004995,-25.4506,-49.1211,102
64864200,-24.7175,-53.9436,0
64864150,-24.7328,-53.8928,0
64864100,-24.7428,-53.855,0
64863100,-24.7792,-53.7608,0
64850150,-24.4203,-54.0367,750
64850100,-24.4192,-54.0286,744
64850050,-24.4717,-53.9986,700
64849000,-24.3939,-54.1383,853
64815000,-24.1331,-53.3167,2960
64785000,-24.5544,-52.9014,1340
64773890,-24.7436,-52.4753,1680
64773880,-24.7478,-52.4681,1672
64773750,-24.7644,-52.4308,161
64773500,-24.7247,-52.3931,1051
64767000,-24.9467,-52.5964,3540
64682000,-23.4414,-52.6047,818
64675002,-23.6747,-52.1172,23100
64672100,-23.9947,-52.2317,904
64671600,-24.0561,-52.2903,714
64671500,-24.0864,-52.3008,582
64670011,-24.1047,-52.3283,571
64670005,-24.2067,-52.3825,127
64645000,-24.3419,-51.4244,8540
64633050,-24.6894,-51.5181,878
64633000,-24.6942,-51.5194,873
64632000,-24.7769,-51.4289,339
64631800,-24.7878,-51.4308,335
64630100,-24.9228,-51.3975,467
64630050,-24.9408,-51.3844,442
64609000,-22.3981,-54.7919,5700
